ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
A0, fp_dp_simd_ins, 7, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, fp_sp_scalar_ins, 7, Accumulator, 1821667360, 0, 11, 11, 11, 1, 1
A0, fp_dp_scalar_ins, 7, Accumulator, 1821667360, 0, 20, 20, 20, 1, 1
A0, fp_sp_ops, 7, Accumulator, 1821667360, 0, 0, 0, 11, 0, 0
A0, fp_dp_ops, 7, Accumulator, 1821667360, 0, 0, 0, 20, 0, 0
rtr_0, send_bit_count, port0, Accumulator, 1821667360, 0, 2646784, 1181237248, 13908, 64, 576
rtr_0, send_packet_count, port0, Accumulator, 1821667360, 0, 13908, 13908, 13908, 1, 1
rtr_0, output_port_stalls, port0, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_0, idle_time, port0, Accumulator, 1821667360, 0, 1809887284, 9081924354855714, 10774, 1097, 61272827
rtr_0, width_adj_count, port0, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_0, send_bit_count, port1, Accumulator, 1821667360, 0, 1934144, 725405696, 13901, 64, 576
rtr_0, send_packet_count, port1, Accumulator, 1821667360, 0, 13901, 13901, 13901, 1, 1
rtr_0, output_port_stalls, port1, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_0, idle_time, port1, Accumulator, 1821667360, 0, 1809893213, 8681846624375473, 10841, 1097, 61272827
rtr_0, width_adj_count, port1, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_0, send_bit_count, port2, Accumulator, 1821667360, 0, 7251008, 4148400128, 13353, 64, 576
rtr_0, send_packet_count, port2, Accumulator, 1821667360, 0, 13353, 13353, 13353, 1, 1
rtr_0, output_port_stalls, port2, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_0, idle_time, port2, Accumulator, 1821667360, 0, 1810357369, 7609535200373555, 12220, 1241, 61293155
rtr_0, width_adj_count, port2, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_0, xbar_stalls, port0, Accumulator, 1821667360, 0, 107, 107, 107, 1, 1
rtr_0, xbar_stalls, port1, Accumulator, 1821667360, 0, 115, 115, 115, 1, 1
rtr_0, xbar_stalls, port2, Accumulator, 1821667360, 0, 84, 84, 84, 1, 1
rtr_1, send_bit_count, port0, Accumulator, 1821667360, 0, 2604416, 1153458176, 13926, 64, 576
rtr_1, send_packet_count, port0, Accumulator, 1821667360, 0, 13926, 13926, 13926, 1, 1
rtr_1, output_port_stalls, port0, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_1, idle_time, port0, Accumulator, 1821667360, 0, 1809872038, 9082141857010796, 10540, 1097, 61272827
rtr_1, width_adj_count, port0, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_1, send_bit_count, port1, Accumulator, 1821667360, 0, 4283456, 2378043392, 9857, 64, 576
rtr_1, send_packet_count, port1, Accumulator, 1821667360, 0, 9857, 9857, 9857, 1, 1
rtr_1, output_port_stalls, port1, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_1, idle_time, port1, Accumulator, 1821667360, 0, 1813318481, 9951041874715265, 9099, 1097, 61293155
rtr_1, width_adj_count, port1, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_1, send_bit_count, port2, Accumulator, 1821667360, 0, 135680, 76513280, 280, 64, 576
rtr_1, send_packet_count, port2, Accumulator, 1821667360, 0, 280, 280, 280, 1, 1
rtr_1, output_port_stalls, port2, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_1, idle_time, port2, Accumulator, 1821667360, 0, 1821430200, 3148929922339575968, 238, 1300, 1774352349
rtr_1, width_adj_count, port2, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_1, xbar_stalls, port0, Accumulator, 1821667360, 0, 16, 16, 16, 1, 1
rtr_1, xbar_stalls, port1, Accumulator, 1821667360, 0, 16, 16, 16, 1, 1
rtr_1, xbar_stalls, port2, Accumulator, 1821667360, 0, 25, 25, 25, 1, 1
rtr_2, send_bit_count, port0, Accumulator, 1821667360, 0, 2353664, 1033011200, 12840, 64, 576
rtr_2, send_packet_count, port0, Accumulator, 1821667360, 0, 12840, 12840, 12840, 1, 1
rtr_2, output_port_stalls, port0, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_2, idle_time, port0, Accumulator, 1821667360, 0, 1810791880, 9179944158323984, 10014, 1097, 61272827
rtr_2, width_adj_count, port0, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_2, send_bit_count, port1, Accumulator, 1821667360, 0, 4340928, 2414161920, 9875, 64, 576
rtr_2, send_packet_count, port1, Accumulator, 1821667360, 0, 9875, 9875, 9875, 1, 1
rtr_2, output_port_stalls, port1, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_2, idle_time, port1, Accumulator, 1821667360, 0, 1813303235, 9951264992039781, 9115, 1097, 61293155
rtr_2, width_adj_count, port1, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_2, send_bit_count, port2, Accumulator, 1821667360, 0, 475392, 238043136, 1796, 64, 576
rtr_2, send_packet_count, port2, Accumulator, 1821667360, 0, 1796, 1796, 1796, 1, 1
rtr_2, output_port_stalls, port2, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_2, idle_time, port2, Accumulator, 1821667360, 0, 1820146148, 23520595405650066, 1686, 1241, 62538245
rtr_2, width_adj_count, port2, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_2, xbar_stalls, port0, Accumulator, 1821667360, 0, 26, 26, 26, 1, 1
rtr_2, xbar_stalls, port1, Accumulator, 1821667360, 0, 11, 11, 11, 1, 1
rtr_2, xbar_stalls, port2, Accumulator, 1821667360, 0, 8, 8, 8, 1, 1
rtr_3, send_bit_count, port0, Accumulator, 1821667360, 0, 2107776, 914939904, 11774, 64, 576
rtr_3, send_packet_count, port0, Accumulator, 1821667360, 0, 11774, 11774, 11774, 1, 1
rtr_3, output_port_stalls, port0, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_3, idle_time, port0, Accumulator, 1821667360, 0, 1811694782, 9288757841196040, 9433, 1097, 61272827
rtr_3, width_adj_count, port0, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_3, send_bit_count, port1, Accumulator, 1821667360, 0, 4104704, 2287271936, 9216, 64, 576
rtr_3, send_packet_count, port1, Accumulator, 1821667360, 0, 9216, 9216, 9216, 1, 1
rtr_3, output_port_stalls, port1, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_3, idle_time, port1, Accumulator, 1821667360, 0, 1813861408, 10099220456983010, 8538, 1097, 61293155
rtr_3, width_adj_count, port1, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_3, send_bit_count, port2, Accumulator, 1821667360, 0, 474880, 238010368, 1788, 64, 576
rtr_3, send_packet_count, port2, Accumulator, 1821667360, 0, 1788, 1788, 1788, 1, 1
rtr_3, output_port_stalls, port2, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_3, idle_time, port2, Accumulator, 1821667360, 0, 1820152924, 21092932996183610, 1664, 1241, 62821143
rtr_3, width_adj_count, port2, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_3, xbar_stalls, port0, Accumulator, 1821667360, 0, 23, 23, 23, 1, 1
rtr_3, xbar_stalls, port1, Accumulator, 1821667360, 0, 16, 16, 16, 1, 1
rtr_3, xbar_stalls, port2, Accumulator, 1821667360, 0, 7, 7, 7, 1, 1
rtr_4, send_bit_count, port0, Accumulator, 1821667360, 0, 1868736, 799961088, 10743, 64, 576
rtr_4, send_packet_count, port0, Accumulator, 1821667360, 0, 10743, 10743, 10743, 1, 1
rtr_4, output_port_stalls, port0, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_4, idle_time, port0, Accumulator, 1821667360, 0, 1812568039, 9553022503595827, 8740, 1097, 61272827
rtr_4, width_adj_count, port0, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_4, send_bit_count, port1, Accumulator, 1821667360, 0, 3869312, 2160730112, 8562, 64, 576
rtr_4, send_packet_count, port1, Accumulator, 1821667360, 0, 8562, 8562, 8562, 1, 1
rtr_4, output_port_stalls, port1, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_4, idle_time, port1, Accumulator, 1821667360, 0, 1814415346, 10204996778938524, 7920, 1097, 61293155
rtr_4, width_adj_count, port1, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_4, send_bit_count, port2, Accumulator, 1821667360, 0, 457024, 229199872, 1717, 64, 576
rtr_4, send_packet_count, port2, Accumulator, 1821667360, 0, 1717, 1717, 1717, 1, 1
rtr_4, output_port_stalls, port2, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_4, idle_time, port2, Accumulator, 1821667360, 0, 1820213061, 22201641824231561, 1609, 1241, 61953815
rtr_4, width_adj_count, port2, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_4, xbar_stalls, port0, Accumulator, 1821667360, 0, 28, 28, 28, 1, 1
